t,y
0,20.000984122685985
1,20.704819811642295
2,20.694163001861824
3,20.613097033579127
4,21.32255302281741
5,21.18873356357171
6,22.250227914668258
7,23.411215987180174
8,21.99527857589548
9,21.855733112734356
10,22.623924447717037
11,22.321799257482837
12,21.859901903783268
13,20.719098850385034
14,21.0924219236649
15,21.30624255556663
16,19.308804980536415
17,19.670434105016223
18,18.203451303574376
19,18.43208015721723
20,17.794561162197734
21,18.95981406254995
22,18.096999024108495
23,19.377967696320816
24,19.423287836709072
25,19.368404436727158
26,17.800302580388802
27,19.743475178737746
28,20.547725957527543
29,21.124823807167125
30,20.27589138759568
31,21.583620760808373
32,21.63065802370629
33,22.178500713044464
34,24.03500854966365
35,22.83602306730336
36,23.67609566863389
37,24.546555684643085
38,23.4221634445419
39,23.76275147292298
40,23.820422122168463
41,23.58731507035884
42,22.295525843450793
43,23.024385470453208
44,23.702882119028754
45,21.012284257497214
46,22.571682768781763
47,21.632009934405666
48,20.711253180129276
49,22.564043586119148
50,21.377756962098893
51,19.688455845725514
52,20.670569192280627
53,21.122307876199603
54,20.646861267129093
55,21.56427740618729
56,21.26049649292568
57,22.20822754408252
58,23.23734478717332
59,21.99364681755996
60,23.162510888311683
61,23.095177320404783
62,24.015288015132263
63,23.375814882304834
64,24.222848373752647
65,24.825094029325278
66,25.921124130270634
67,26.255221396699852
68,24.33022155674914
69,24.716399139800668
70,25.749573545627616
71,23.442353823615193
72,24.405034612623055
73,24.38564374561553
74,25.121435363464975
75,24.301523120456604
76,23.122405882186726
77,22.741665998568436
78,22.52427317500071
79,23.68253386941014
80,21.92552923837283
81,21.90494265671791
82,22.39302746309167
83,22.06433985319429
84,22.140059585037115
85,21.626695477910282
86,22.80449317461437
87,22.81956451703552
88,24.519428934800573
89,24.556647420525415
90,24.480685109592056
91,25.500528200249395
92,25.14157764478108
93,26.667271591326504
94,26.181970002417486
95,26.94875669091321
96,25.66939843633152
97,27.11638782983929
98,25.53848049684331
99,25.22384987663836
100,26.48846930539973
101,25.816347564875915
102,26.406812741154727
103,27.759278587340443
104,24.95044483650585
105,24.750845130844876
106,25.04849977521624
107,24.93093734697829
108,24.083304642690447
109,23.798966084842643
110,24.329919556527557
111,24.063813077036812
112,22.784015543604504
113,23.59761115437078
114,23.826116446338872
115,23.17436149479183
116,24.521581629584702
117,23.98806431367382
118,25.864180080182035
119,25.688373348448536
120,26.07144518861523
121,25.9930006993505
122,26.81858542704944
123,25.727373470259298
124,26.781163674536337
125,28.27232264691988
126,26.49925939913259
127,29.01633060792148
128,26.99216661043742
129,28.95750383472172
130,27.555653181265424
131,28.659482518428756
132,27.880331470652788
133,26.234005333918407
134,28.115142381282286
135,27.903365724418094
136,26.331532693564316
137,25.817393696110543
138,25.596535922638548
139,24.683588490822213
140,26.14681860023666
141,24.713573422025544
142,25.070003879110114
143,24.52631908670102
144,24.797028487633533
145,24.495769071110182
146,26.819365800016723
147,26.051159436850245
148,27.359264008831445
149,27.044836295895085
150,26.94447717783768
151,27.70447517363371
152,27.965288445749277
153,28.83193778393288
154,28.88607617921322
155,29.242113434815437
156,28.599253285281577
157,29.19356704863965
158,31.21228982977689
159,29.31512645958893
160,28.888775777470087
161,29.806150717014816
162,30.401388264230174
163,27.800253844166633
164,28.449005903034518
165,27.744357956852085
166,26.47536103890255
167,28.124468081255106
168,27.20567436057118
169,27.0208638244793
170,26.16610001447465
171,27.01171429780723
172,26.1795183296736
173,26.54663364246604
174,25.911278333664484
175,26.045066984264558
176,28.382135833285222
177,27.26874573178428
178,28.319870998933045
179,28.507144270550583
