user_id,day,amount
1029,4,55.03639854917125
1019,17,35.99420248406974
1021,9,44.879846635617284
1027,12,39.01169097111821
1018,6,54.859504835956464
1024,23,43.59052874744511
1026,28,45.606350420655076
1007,12,23.875556369228384
1002,13,33.645941628626694
1010,14,147.29458031576655
1009,3,36.49809510231818
1027,23,29.00718991688765
1028,27,66.8462896603742
1001,16,127.0223835982761
1015,2,22.818815081209294
1025,11,48.177248704854506
1004,5,37.366271562181076
1024,25,18.980047871829683
1004,25,84.8560274383504
1015,12,53.83552950209837
1025,12,56.989389795872874
1010,26,34.765068938425955
1011,3,71.72723325939809
1009,24,39.504776565602505
1022,29,50.11187845517545
1008,14,28.079605353353447
1030,23,26.32024312996382
1014,22,121.67080927617576
1015,27,40.27525164760006
1016,2,65.04037388832278
1018,22,53.50235861220204
1017,12,41.90113346960255
1016,26,40.25456516967915
1030,26,79.6824654641141
1025,9,45.553134566130545
1024,18,49.85574876871783
1022,15,55.33097809955614
1019,17,110.59833029136783
1011,25,82.13026503621937
1030,20,68.68701427620354
1014,23,38.933581816861626
1007,21,23.826985144909198
1026,8,96.51688421909715
1005,18,97.50155050887906
1026,12,50.17791353829005
1019,13,75.5753600625724
1004,4,87.25770200637751
1002,6,89.90114444519959
1014,11,94.90060530563726
1002,9,41.53886145219661
1005,20,135.501646237315
1016,9,25.843113548756182
1030,8,91.56360305869025
1014,13,73.43195884149783
1025,18,92.21948738144377
1028,30,168.57908456060767
1025,16,133.04232145417407
1019,11,27.464488850670417
1014,10,19.822091574972767
1016,14,89.13333863075432
1008,28,29.695411843007584
1015,12,54.193271941056075
1012,8,90.36314409505391
1008,18,20.363041962490104
1030,24,15.39452193167568
1001,29,63.788913917418945
1003,9,56.07171709336019
1006,27,47.111548270100016
1030,26,55.8752126231288
1021,12,32.57974041681291
1027,11,22.01894800514536
1007,9,49.402799344041796
1022,10,30.47707572303028
1012,27,20.366903512904493
1015,10,73.95143861356678
1001,15,52.62339659036316
1019,29,69.68026404836182
1025,21,30.15717993071279
1020,4,36.7877432154159
1005,3,29.981309884598474
1017,7,32.07301042583384
1009,26,61.38986464810563
1029,7,34.13131291353257
1027,10,67.60214905460278
1006,17,66.94380628098163
1016,15,184.0295959314698
1029,3,23.672796750955037
1026,6,93.01320075673567
1022,30,51.74393477529335
1020,13,54.14048064271976
1002,9,22.875848579749736
1023,25,41.42496474951816
1015,14,85.27815777139116
1003,25,51.96201530701743
1008,5,57.319026673782616
1017,15,45.85893212609997
1022,25,109.15204824034139
1016,24,53.89924442749338
1019,21,14.581456176295958
1027,14,36.04457870341123
1021,25,16.75542415086461
1011,12,7.7611999168550145
1020,20,39.7230168866832
1018,17,121.52693312936245
1004,10,56.163773177985654
1002,7,27.01716961478829
1020,16,31.049418460651708
1012,10,107.59432859891167
1018,16,60.013886315685475
1010,22,56.19341307375331
1007,25,52.874592299933845
1005,24,55.87070360116071
1012,16,88.52131656628389
1025,2,76.06135965413574
1013,6,62.14204543699797
1012,22,29.203220241770023
1018,18,74.19266263372616
1030,25,36.21421615498749
1012,15,105.24673024670412
1018,14,25.466643732954495
1014,8,50.27095194838457
1019,2,54.35763207247822
1014,5,24.660744049719334
1020,21,153.42057191749353
1017,18,131.1371943579393
1021,8,41.34079327181449
1029,11,86.75019783461951
1005,20,68.52547965017855
1017,12,11.380078445963607
1014,12,63.44915076589395
1011,9,52.625118937765635
1008,20,57.39346301503766
1002,27,28.613397382902697
1013,8,46.45071101595914
1025,9,49.06003449607418
1003,15,111.36983727990462
1013,6,66.7301073899495
1030,16,54.41647633872042
1029,27,136.64440926716975
1007,19,39.12850549417049
1001,5,43.22166253232367
1021,7,18.35582555759286
1001,3,139.97495416312353
1010,29,97.37791318474562
1015,11,94.64270740869685
1027,9,81.56000996352586
1003,26,58.32840247007496
1020,10,62.13400126565991
1016,7,46.936519782282915
1004,8,48.31971930702028
1026,12,56.40637404091877
1026,3,135.24631979095003
1015,20,76.20390751367383
1029,13,52.71625882370382
1019,30,38.56575743745876
1028,24,37.30028276876246
1029,12,142.82541449202958
1018,22,73.99609951337439
1009,25,56.85648779597254
1005,6,44.35790325110896
1017,5,28.06625466223701
1006,5,52.45119223749355
1023,2,92.22164096838601
1028,10,43.141165267537836
1008,24,47.639128468118635
1017,24,47.81691222392407
1002,12,58.309009645995964
1006,15,20.993092871777353
1012,24,47.40657768603364
1027,28,32.69959488889165
1030,9,92.82825073963224
1020,20,34.385700473916806
1018,18,77.18676838623472
1018,19,136.27330593317512
1002,25,45.23369362090578
1012,24,38.0558283524502
1030,12,61.24360007999499
1013,23,54.53172178448238
1007,2,30.079088364651945
1008,11,71.99175866136231
1022,7,182.96769955255334
1002,8,46.76489444936532
1030,28,48.34072061390184
1027,14,29.167083203564417
1018,3,66.11879649862112
1015,15,25.837172903649225
1023,3,28.10201790673953
1017,5,117.66014750690036
1015,12,31.713046710384138
1010,14,104.46107788554045
1014,7,136.26681002585693
1023,20,63.78996403726099
1002,15,76.09897850459707
1001,5,176.15258262891456
1022,25,48.519363163882
1012,5,38.252025833410265
1025,11,24.241386565937255
1001,6,55.9816662202623
1028,29,132.61981839165736
1004,9,97.10153939125098
1013,27,31.02350847977007
1030,29,32.680375812639234
1004,7,40.34620193962931
1020,1,65.06331348946185
1022,1,48.27013969673845
1013,6,62.09542826236196
1003,13,65.23809822133688
1016,5,45.637778435746924
1014,29,53.297830940217466
1027,15,61.80321750707124
1021,26,51.91554054826673
1011,1,73.85565048106271
1002,4,167.75850315182845
1018,14,77.88110515296117
1009,5,56.45739753739793
1021,5,19.85247780880099
1026,1,68.90813575061631
1011,9,16.97926600538359
1028,23,23.44317829498322
1016,24,91.17525663852176
1016,16,83.40773376678047
1023,6,49.90077835790697
1024,14,19.569913009599766
1028,19,43.693130365293875
1030,5,36.334111438504834
1005,13,80.00622528254036
1013,25,211.58743545340278
1029,13,62.18776602961351
1010,15,34.206419227994886
1001,25,27.04951517436176
1018,21,52.79114305859348
1023,5,49.10319401426913
1023,19,27.360175420000377
1025,28,58.54602174296634
1020,7,27.370119447344354
1005,27,106.40625502808855
1026,18,103.2951437071306
1013,21,104.67400007304016
1026,10,41.081985550144495
1025,2,74.34469643821343
1030,1,50.43867777165357
1001,20,43.2376984128125
1026,30,44.54556534833279
1019,19,25.03239625501354
1015,11,22.958351783988046
1024,24,87.93420589226113
1029,29,48.67953703247137
1016,7,62.1689022364095
1003,4,99.58646214093085
1022,29,19.300297358925363
1007,2,34.107658745391326
1007,27,60.65492926758658
1006,5,69.07942102366368
1006,4,43.543277551266605
1028,9,101.24137727243458
1011,10,61.94438481053963
1004,10,26.36324266576956
1006,1,31.235077258621132
1012,26,88.52479093064869
1011,25,72.11765437398334
1010,21,17.471365027228565
1029,28,122.5632694940209
1026,29,78.16454989807386
1018,30,122.24237969365286
1030,12,43.37049934370244
1011,19,45.72184841805095
1005,23,27.77470596494952
1009,20,250.1742667638206
1003,24,49.14265843105079
1029,21,141.53116147119485
1007,12,37.026154050720045
1014,18,60.23808029674014
